PRCDDA,PwMode,SA_im
35200243,Transit,15.34200877
35200244,Car/motor,186.9866885
35200244,Transit,12.77989916
35200245,Car/motor,173.4848202
35200245,Transit,34.27159302
35200246,Car/motor,149.5551748
35200246,Transit,7.468780197
35200249,Car/motor,116.3072308
35200249,Transit,0.002656777
35200250,Car/motor,172.9431979
35200251,Car/motor,107.9252168
35200252,Car/motor,159.309271
35200253,Car/motor,158.0349009
35200253,Transit,35.60318435
35200254,Car/motor,340.968598
35200254,Transit,13.20336742
35200255,Car/motor,218.093214
35200256,Car/motor,209.8420131
35200256,Transit,0.002412512
35200260,Car/motor,96.65358977
35200260,Transit,13.30137394
35200261,Car/motor,216.1129742
35200261,Transit,7.739224763
35200262,Car/motor,137.4006299
35200263,Car/motor,95.84985425
35200264,Car/motor,190.5700435
35200265,Car/motor,161.1120314
35200266,Car/motor,185.7341738
35200266,Transit,1.350881138
35200267,Car/motor,359.4960211
35200267,Transit,0.004668855
35200267,Walk,0.572001605
35200268,Car/motor,229.139831
35200268,Transit,14.5010044
35200269,Car/motor,283.5885708
35200269,Transit,22.36942185
35200271,Car/motor,429.3403162
35200271,Transit,204.0219764
35200271,Walk,0.87411812
35200272,Car/motor,501.4270867
35200272,Transit,177.6360395
35200273,Car/motor,822.8530718
35200273,Transit,306.8259998
35200273,Walk,1.440345539
35200275,Car/motor,174.1700565
35200278,Car/motor,171.9467061
35200279,Car/motor,241.7401606
35200279,Transit,18.7786788
35200280,Car/motor,133.8320971
35200280,Transit,77.30251323
35200281,Car/motor,142.8948495
35200281,Transit,34.71070657
35200284,Car/motor,283.3952014
35200284,Transit,30.87013578
35200288,Car/motor,170.4696456
35200289,Car/motor,257.9547552
35200290,Car/motor,153.702239
35200290,Transit,25.28145793
35200291,Car/motor,109.9089693
35200291,Transit,32.42764559
35200292,Car/motor,197.6036934
35200292,Transit,16.22896437
35200293,Car/motor,738.4908017
35200293,Transit,27.06332304
35200294,Car/motor,142.0767223
35200297,Car/motor,106.6578081
35200298,Car/motor,468.2532937
35200298,Transit,24.15927349
35200300,Car/motor,201.8608935
35200300,Transit,79.06847571
35200300,Walk,0.598764713
35200301,Car/motor,100.8703145
35200301,Transit,19.54909568
35200302,Car/motor,283.6171585
35200302,Transit,10.6308172
35200303,Car/motor,50.58094829
35200304,Car/motor,247.5470321
35200305,Car/motor,227.9230415
35200305,Transit,11.08405649
35200306,Car/motor,192.4957546
35200307,Car/motor,41.42248978
35200308,Car/motor,236.9589974
35200309,Car/motor,491.2502679
35200309,Transit,0.008211297
35200309,Walk,0.877089869
35200310,Car/motor,94.01691314
35200310,Transit,37.39154258
35200315,Car/motor,198.8615463
35200315,Transit,35.64175745
35200316,Car/motor,485.5686381
35200316,Transit,52.15570285
35200317,Car/motor,136.7104803
35200317,Transit,23.53338746
35200318,Car/motor,193.1359588
35200318,Transit,9.556100836
35200319,Car/motor,142.1385954
35200319,Transit,17.68319674
35200320,Car/motor,223.8771751
35200320,Transit,22.61446255
35200321,Car/motor,218.2702793
35200321,Transit,17.93910366
35200322,Car/motor,69.06076363
35200322,Transit,35.79285717
35200323,Car/motor,265.3932516
35200323,Transit,44.4231869
35200324,Car/motor,261.662076
35200324,Transit,43.88251401
35200325,Car/motor,77.07821628
35200325,Transit,17.46513005
35200326,Car/motor,203.9330264
35200327,Car/motor,146.4123274
35200328,Car/motor,110.5032852
35200329,Car/motor,109.7963855
35200329,Transit,0.002583054
35200330,Car/motor,146.1400077
35200331,Car/motor,145.7974324
35200331,Transit,15.42754031
35200332,Car/motor,109.5348068
35200333,Car/motor,208.6897512
35200334,Car/motor,143.7763064
35200334,Transit,18.47491361
35200335,Car/motor,200.3096033
35200336,Car/motor,167.0750109
35200337,Car/motor,106.133738
35200337,Transit,25.04435225
35200338,Car/motor,128.4054217
35200338,Transit,13.93652225
35200339,Car/motor,71.79160338
35200339,Transit,20.49491732
35200352,Car/motor,386.1163431
35200352,Transit,69.61538574
35200352,Walk,2.527330961
35200355,Car/motor,131.2189213
35200355,Transit,19.86679131
35200357,Car/motor,160.154535
35200358,Car/motor,130.3450446
35200358,Transit,5.71574572
35200359,Car/motor,201.7892113
35200360,Car/motor,203.9572894
35200361,Car/motor,73.57480102
35200362,Car/motor,229.0145235
35200363,Car/motor,169.9760791
35200364,Car/motor,507.039118
35200364,Transit,86.38952786
35200364,Walk,1.523578778
35200366,Car/motor,185.6451129
35200366,Transit,0.003626586
35200366,Walk,1.604578287
35200368,Car/motor,161.1258265
35200368,Transit,18.97079757
35200370,Car/motor,176.401345
35200370,Transit,0.000556828
35200371,Car/motor,331.0752291
35200372,Car/motor,171.4214965
35200373,Car/motor,113.8997417
35200374,Car/motor,242.4691651
35200375,Car/motor,120.3769998
35200376,Car/motor,186.8076868
35200377,Car/motor,292.2184487
35200378,Car/motor,92.05630992
35200379,Car/motor,149.73226
35200380,Car/motor,263.2631369
35200381,Car/motor,316.1228836
35200381,Transit,40.92567111
35200382,Car/motor,260.0744811
35200382,Transit,72.13607307
35200383,Car/motor,195.8580399
35200383,Transit,22.5858959
35200384,Car/motor,279.2721852
35200385,Car/motor,176.6417075
35200386,Car/motor,338.2336149
35200387,Car/motor,109.9501737
35200388,Car/motor,267.6105684
35200389,Car/motor,215.064457
35200389,Transit,24.58257715
35200391,Car/motor,215.545163
35200392,Car/motor,97.61483324
35200392,Transit,9.053733631
35200393,Car/motor,399.4786201
35200394,Car/motor,191.5180332
35200394,Transit,0.002413654
35200395,Car/motor,130.3184318
35200395,Transit,5.154845744
35200396,Car/motor,142.5040679
35200396,Transit,16.58657023
35200397,Car/motor,117.2398074
35200397,Transit,0.001551368
35200400,Car/motor,132.0130276
35200401,Car/motor,254.3650827
35200402,Car/motor,211.9901926
35200404,Car/motor,182.730764
35200405,Car/motor,230.4401472
35200406,Car/motor,141.0799875
35200407,Car/motor,136.0358096
35200408,Car/motor,232.7227282
35200408,Transit,11.63088764
35200409,Car/motor,111.1937682
35200410,Car/motor,310.6800035
35200410,Transit,60.95677067
35200411,Car/motor,198.1949657
35200411,Transit,56.68250193
35200412,Car/motor,434.6006627
35200412,Transit,75.03551109
35200413,Car/motor,392.3296485
35200413,Transit,19.44696007
35200413,Walk,0.619084782
35200414,Car/motor,532.3695457
35200414,Transit,25.17425551
35200415,Car/motor,142.1451438
35200416,Car/motor,176.6423121
35200417,Car/motor,249.319422
35200417,Transit,35.86002649
35200418,Car/motor,223.6827522
35200418,Transit,60.32399576
35200420,Car/motor,223.9542447
35200420,Transit,28.4532632
35200421,Car/motor,93.36911124
35200422,Car/motor,152.2351537
35200422,Transit,28.2440843
35200423,Car/motor,188.6694335
35200423,Transit,13.54973387
35200426,Car/motor,145.3946383
35200426,Transit,26.00069495
35200427,Car/motor,175.1475493
35200427,Transit,23.81478009
35200428,Car/motor,171.4830375
35200428,Transit,26.44524207
35200429,Car/motor,72.10252453
35200429,Transit,29.75006426
35200430,Car/motor,161.1725979
35200430,Transit,15.90290848
35200431,Car/motor,212.1421464
35200431,Transit,23.11492878
35200432,Car/motor,175.0714759
35200432,Transit,13.8782173
35200433,Car/motor,103.5611286
35200433,Transit,22.46958503
35200434,Car/motor,133.2025278
35200434,Transit,15.46893686
35200435,Car/motor,194.5090992
35200435,Transit,12.22491722
35200436,Car/motor,174.1095388
35200436,Transit,28.18560595
35200437,Car/motor,118.8522956
35200437,Transit,9.541151519
35200438,Car/motor,144.0338603
35200438,Transit,17.33819569
35200439,Car/motor,165.8429392
35200439,Transit,10.13044938
35200440,Car/motor,225.0264043
35200440,Transit,10.79956302
35200442,Car/motor,119.3131415
35200442,Transit,26.67943159
35200442,Walk,0.363382262
35200443,Car/motor,96.62793144
35200443,Transit,22.93795155
35200444,Car/motor,127.5067268
35200444,Transit,7.938580706
35200445,Car/motor,190.0049479
35200449,Car/motor,203.267928
35200449,Transit,27.51278424
35200450,Car/motor,193.3247163
35200450,Transit,14.59612966
35200451,Car/motor,92.89557468
35200451,Transit,25.05026004
35200452,Car/motor,343.3609077
35200453,Car/motor,287.2804557
35200453,Transit,9.468528144
35200454,Car/motor,282.3309531
35200454,Transit,0.001137747
35200455,Car/motor,230.4062053
35200456,Car/motor,267.9849966
35200456,Transit,46.41681414
35200459,Car/motor,178.7386585
35200460,Car/motor,81.7113497
35200460,Transit,24.23195168
35200463,Car/motor,152.0920668
35200463,Transit,18.7495233
35200464,Car/motor,189.3221897
35200464,Transit,29.38604605
35200465,Car/motor,126.0749364
35200465,Transit,27.45925537
35200466,Car/motor,286.3421722
35200466,Transit,15.2898877
35200467,Car/motor,232.9750316
35200467,Transit,17.0404529
35200468,Car/motor,231.1672489
35200468,Transit,0.004301474
35200469,Car/motor,78.52870569
35200469,Transit,45.12687789
35200469,Walk,0.424314293
35200470,Car/motor,83.56946374
35200470,Transit,43.78707998
35200470,Walk,0.66514756
35200471,Car/motor,377.0073422
35200471,Transit,96.8827547
35200471,Walk,0.624117538
35200472,Car/motor,190.9450423
35200472,Transit,49.90051731
35200475,Car/motor,57.31343291
35200475,Transit,48.96660651
35200478,Car/motor,152.6648518
35200478,Transit,5.612482415
35200479,Car/motor,130.3846679
35200479,Transit,13.91087753
35200480,Car/motor,93.97789393
35200480,Transit,15.17357316
35200481,Car/motor,184.5327685
35200482,Car/motor,175.1857685
35200482,Transit,29.19674399
35200483,Car/motor,77.37804293
35200483,Transit,19.87942454
35200484,Car/motor,101.7908578
35200484,Transit,35.33617494
35200488,Car/motor,89.9542749
35200488,Transit,21.22446266
35200489,Car/motor,75.20977299
35200489,Transit,39.1358992
35200490,Car/motor,108.9742248
35200490,Transit,14.1591816
35200491,Car/motor,116.0255773
35200491,Transit,10.50217995
35200492,Car/motor,83.24164182
35200492,Transit,17.73871856
35200493,Car/motor,62.59067744
35200493,Transit,14.06816009
35200494,Car/motor,128.4148237
35200495,Car/motor,136.7991107
35200495,Transit,19.13165563
35200495,Walk,0.63683635
35200497,Car/motor,91.17972186
35200497,Transit,54.75650778
35200498,Car/motor,70.55460563
35200498,Transit,15.20734749
35200499,Car/motor,297.3687303
35200499,Transit,21.43656667
35200505,Car/motor,56.81119053
35200505,Transit,27.40509832
35200506,Car/motor,138.0404305
35200506,Transit,27.85761358
35200510,Car/motor,96.80619954
35200510,Transit,30.37094275
35200511,Car/motor,143.5787296
35200511,Transit,32.06034075
35200512,Car/motor,117.3016259
35200512,Transit,20.73603879
35200513,Car/motor,110.5285007
35200513,Transit,18.07205804
35200514,Car/motor,178.8162123
35200514,Transit,22.0701386
35200515,Car/motor,162.7375948
35200515,Transit,25.11317901
35200516,Car/motor,135.6172985
35200517,Car/motor,183.2201351
35200518,Car/motor,95.77274872
35200518,Transit,27.44842043
35200519,Car/motor,129.2226525
35200519,Transit,21.42630473
35200520,Car/motor,130.920039
35200520,Transit,24.11058622
35200520,Walk,1.312888277
35200521,Car/motor,198.9816347
35200521,Transit,32.74397735
35200521,Walk,0.872114428
35200522,Car/motor,181.0211149
35200522,Transit,24.0145954
35200523,Car/motor,230.2560737
35200523,Transit,16.16868232
35200524,Car/motor,243.3125382
35200525,Car/motor,164.266118
35200529,Car/motor,272.0107511
35200529,Transit,12.46859813
35200531,Car/motor,197.6275656
35200531,Transit,25.40900505
35200532,Car/motor,196.1047169
35200532,Transit,20.07976078
35200533,Car/motor,105.4324616
35200534,Car/motor,202.0505333
35200534,Transit,14.22414509
35200535,Car/motor,117.300766
35200535,Transit,29.89000602
35200536,Car/motor,286.6117423
35200536,Transit,44.82150801
35200536,Walk,1.048758511
35200538,Car/motor,727.1558784
35200538,Transit,0.007873756
35200539,Car/motor,161.6819555
35200539,Transit,56.80514186
35200540,Car/motor,105.7779761
35200540,Transit,26.99047183
35200541,Car/motor,283.3459214
35200541,Transit,70.48226711
35200541,Walk,0.398882077
35200542,Car/motor,85.41197282
35200542,Transit,34.7524789
35200561,Car/motor,361.6094138
35200561,Walk,0.471521829
35200562,Car/motor,216.6338961
35200563,Car/motor,128.559665
35200563,Transit,28.47630382
35200564,Car/motor,311.9528875
35200564,Transit,14.82852517
35200565,Car/motor,136.0094878
35200565,Transit,19.0548887
35200566,Car/motor,198.6912743
35200567,Car/motor,228.3636315
35200567,Transit,21.90443557
35200568,Car/motor,294.335048
35200569,Car/motor,162.3841324
35200569,Transit,41.89994413
35200569,Walk,1.098611249
35200570,Car/motor,182.8062395
35200571,Bike,330.0071631
35200571,Car/motor,154.8652816
35200571,Transit,12.24033878
35200572,Car/motor,161.7706132
35200572,Transit,24.65698464
35200573,Car/motor,176.6933663
35200574,Car/motor,103.6419871
35200574,Transit,23.906831
35200575,Car/motor,204.068491
35200575,Transit,16.13526711
35200576,Car/motor,129.8756902
35200576,Transit,30.31028202
35200576,Walk,1.174286404
35200577,Car/motor,92.75192139
35200577,Transit,55.78177831
35200578,Car/motor,143.5717399
35200578,Transit,27.8469819
35200579,Car/motor,189.8127149
35200579,Transit,63.13580968
35200580,Car/motor,97.27131914
35200580,Transit,43.20456961
35200581,Car/motor,73.32023025
35200581,Transit,27.56054347
35200582,Car/motor,138.8358902
35200582,Transit,55.41451166
35200583,Car/motor,140.7722453
35200583,Transit,60.82760749
35200583,Walk,1.803935262
35200584,Car/motor,100.1888381
35200584,Transit,34.48130572
35200585,Car/motor,77.65236833
35200585,Transit,47.02280378
35200586,Car/motor,155.7712104
35200586,Transit,28.38027409
35200587,Car/motor,169.2523434
35200587,Transit,41.45379486
35200588,Car/motor,163.0662984
35200588,Transit,65.06687264
35200589,Bike,156.6357369
35200589,Car/motor,154.6106063
35200589,Transit,64.56625673
35200590,Car/motor,143.6764968
35200590,Transit,0.034006884
35200591,Car/motor,176.3621323
35200591,Transit,26.54303165
35200593,Car/motor,120.8800112
35200593,Transit,71.08467384
35200593,Walk,1.944441675
35200594,Car/motor,158.3788821
35200594,Transit,35.76258025
35200595,Car/motor,95.95126085
35200595,Transit,25.63481466
35200596,Car/motor,258.1115768
35200596,Transit,71.91058891
35200596,Walk,2.402811624
35200597,Car/motor,110.1068177
35200598,Car/motor,46.45694099
35200598,Transit,50.82621804
35200599,Car/motor,174.63872
35200599,Transit,43.82391915
35200600,Car/motor,102.2660759
35200600,Transit,29.95002706
35200601,Car/motor,109.8552121
35200601,Transit,27.5166167
35200602,Car/motor,120.7910588
35200603,Car/motor,220.3124681
35200603,Transit,32.00306276
35200603,Walk,1.317103867
35200604,Car/motor,94.79254799
35200604,Transit,54.01855317
35200605,Car/motor,113.9552373
35200605,Transit,42.89506006
35200605,Walk,1.205297381
35200606,Car/motor,93.59861078
35200606,Transit,33.32288213
35200610,Car/motor,42.92118951
35200610,Transit,18.65499761
35200611,Car/motor,195.7896945
35200611,Transit,9.867369142
35200611,Walk,1.159144631
35200612,Car/motor,181.9369663
35200612,Transit,26.728388
35200639,Car/motor,236.4455807
35200639,Transit,184.2731438
35200639,Walk,0.885317359
35200640,Car/motor,154.798346
35200640,Transit,36.32755456
35200641,Car/motor,143.5422943
35200641,Transit,77.46947975
35200642,Car/motor,86.12930555
35200642,Transit,38.79467564
35200643,Car/motor,139.5076949
35200643,Transit,38.04460912
35200644,Car/motor,96.61884052
35200644,Transit,14.35129229
35200644,Walk,1.159216386
35200645,Car/motor,123.8553101
35200646,Car/motor,119.8621844
35200646,Transit,15.51131618
35200647,Car/motor,118.3281375
35200647,Transit,15.0333816
35200648,Car/motor,137.7902943
35200648,Transit,36.93723761
35200648,Walk,1.418077615
35200649,Car/motor,178.7028927
35200649,Transit,21.16045883
35200649,Walk,0.755424178
35200650,Car/motor,209.3624985
35200650,Transit,33.13004585
35200650,Walk,1.719736902
35200651,Car/motor,243.1108377
35200651,Transit,24.23814752
35200652,Car/motor,192.2326582
35200652,Transit,13.38975292
35200653,Car/motor,88.13515216
35200653,Transit,12.3274797
35200653,Walk,1.527967054
35200654,Car/motor,547.4756164
35200654,Transit,87.85857331
35200654,Walk,3.90485013
35200655,Car/motor,117.7337023
35200655,Transit,18.72132229
35200656,Car/motor,102.8142815
35200657,Car/motor,193.929594
35200657,Transit,41.31271223
35200658,Car/motor,142.6831764
35200658,Transit,10.82165635
35200658,Walk,1.617214516
35200659,Car/motor,172.5243678
35200659,Transit,22.93473765
35200660,Car/motor,215.0344219
35200660,Transit,27.73367442
35200660,Walk,0.78046644
35200661,Car/motor,129.3451124
35200661,Transit,17.88741012
35200661,Walk,1.952994343
35200662,Bike,130.9857848
35200662,Car/motor,212.310804
35200662,Transit,29.78078722
35200663,Car/motor,170.6322294
35200664,Car/motor,232.4402612
35200664,Transit,24.92670487
35200665,Car/motor,184.4800995
35200665,Transit,15.94761988
35200665,Walk,2.310284702
35200666,Car/motor,322.9269067
35200667,Car/motor,103.8573913
35200667,Transit,21.68094623
35200668,Car/motor,46.28445568
35200668,Transit,19.31354512
35200669,Bike,214.9262585
35200669,Car/motor,83.03308516
35200670,Car/motor,128.4119043
35200670,Transit,16.86765348
35200671,Car/motor,221.7600884
35200672,Car/motor,53.64283951
35200673,Car/motor,142.0605739
35200673,Transit,22.81028154
35200673,Walk,1.469637325
35200674,Car/motor,323.4451464
35200674,Transit,36.47928966
35200674,Walk,0.99273004
35200675,Bike,173.51762
35200675,Car/motor,119.6520882
35200675,Transit,25.2454219
35200676,Car/motor,191.5256665
35200676,Transit,52.31265136
35200677,Car/motor,122.709536
35200678,Car/motor,151.9431154
35200678,Transit,24.43454264
35200679,Car/motor,184.8501191
35200680,Car/motor,234.9305855
35200680,Transit,38.21425729
35200680,Walk,1.252358347
35200681,Car/motor,150.3439084
35200681,Transit,23.96506797
35200682,Car/motor,158.1887929
35200683,Car/motor,114.8647937
35200683,Transit,36.33766177
35200683,Walk,1.582935832
35200686,Car/motor,295.9679145
35200686,Transit,41.01296002
35200686,Walk,1.851784328
35200687,Car/motor,119.1598194
35200688,Car/motor,167.1139978
35200689,Car/motor,83.53445086
35200689,Transit,16.20597291
35200690,Car/motor,120.6464568
35200691,Car/motor,102.1623585
35200692,Car/motor,106.5344352
35200692,Transit,18.47435713
35200693,Car/motor,70.05922206
35200693,Transit,27.19497841
35200693,Walk,1.720208313
35200694,Car/motor,207.1158156
35200694,Transit,29.70997213
35200695,Car/motor,113.8708997
35200695,Transit,40.67891352
35200696,Car/motor,81.83237492
35200697,Car/motor,110.3680107
35200697,Transit,20.73652933
35200698,Car/motor,78.93219209
35200698,Transit,20.10857345
35200699,Car/motor,66.00259104
35200699,Transit,17.17385688
35200700,Car/motor,53.52111317
35200700,Transit,16.06189276
35200701,Bike,271.8315637
35200701,Car/motor,73.47784064
35200701,Transit,34.42920758
35200701,Walk,1.341960421
35200702,Bike,258.7210462
35200702,Car/motor,134.7791712
35200702,Walk,1.455326529
35200703,Car/motor,103.0687415
35200703,Transit,44.29612525
35200703,Walk,3.345491585
35200704,Bike,210.364749
35200704,Car/motor,74.23824258
35200705,Bike,262.0504462
35200705,Car/motor,95.29036351
35200705,Transit,58.16462115
35200705,Walk,1.62406173
35200706,Car/motor,200.5730043
35200707,Car/motor,128.4541844
